Neighborhood,revenue,time
Astoria-Long Island City,2628094.28,166478
Auburndale,5350.53,213
Battery Park,5589664.69,305186
Bay Ridge,35070.18,1668
Baychester,1047.4,42
Bayside,0,0
Bedford Park,11606.83,529
Bedford-Stuyvesant,342044.55,21208
Bensonhurst,13008.33,544
Boerum Hill,922356.65,57035
Borough Park,87856.13,4237
Brownsville,11503.16,529
Bushwick,231051.16,14440
Canarsie,11826.09,547
Carnegie Hill,5650229.57,450811
Carroll Gardens,1387343.23,75120
Central Park,6407577.17,490640
Chelsea,32882568.34,2473587
Chinatown,1852298.35,124022
City Island,503.79,14
Clearview,1788.07,53
Clinton,16266574.92,1159447
Cobble Hill,535380.69,28162
College Point,0,0
Coney Island,0,0
Corona,70966.19,1502
Country Club,3115.11,114
Douglastown-Little Neck,11952.2,497
Downtown,1644188.31,92845
Dyker Heights,7023.64,328
East Brooklyn,19299.35,808
East Harlem,1401023.92,99329
East Village,18067160.83,1307955
Eastchester,27.5,4
Financial District,14292724.73,753936
Flatbush,943.81,64
Flushing,126095.45,4888
Fordham,8309.98,423
Forest Hills,280692.33,13094
Fort Green,1863168.23,112325
Garment District,25259649.48,1871235
Glendale,7846.02,424
Gramercy,37121517.43,2871096
Gravesend-Sheepshead Bay,25490.74,1200
Greenwich Village,22514138.59,1703148
Greenwood,98404.3,5101
Hamilton Heights,1019057.89,60085
Harlem,2278663.43,152667
High Bridge,37220.2,2026
Howard Beach,0,0
Hunts Point,4541.84,237
Inwood,44883.62,2249
Jackson Heights,544851.79,27629
Jamaica,487148.03,8770
Kings Bridge,11012.69,534
Laurelton,9050.75,283
Little Italy,4766535.5,345348
Lower East Side,12654247.05,850720
Mapleton-Flatlands,59921.71,3439
Maspeth,120784.49,3372
Middle Village,14186.01,750
Midtown,83649334.1,5864397
Morningside Heights,3622129.55,233516
Morris Heights,10497.51,597
Morris Park,5825.11,266
Mott Haven,104837.35,6551
Murray Hill,16218350.04,1191511
Nkew Gardens,116051.56,4524
North Sutton Area,5069332.89,400157
Park Slope,888933.03,53965
Parkchester,13440.12,734
Queens Village,6696.09,265
Queensboro Hill,7217.39,379
Red Hook,0,0
Ridgewood,27597.43,1642
Riverdale,9412.7,400
Rosedale,0,0
Saintalbans,3520.9,144
Soho,11688275.7,822263
Soundview,8946.45,512
South Bronx,26419.91,1721
Springfield Gardens,45406.93,920
Spuyten Duyvil,5191.45,202
Steinway,863.57,62
Sunny Side,2302461.26,126128
Sunset Park,43691.58,2049
The Rockaways,3407.65,113
Throggs Neck,6397.18,228
Tremont,7860.54,454
Tribeca,10029677.95,659180
Union Port,8777.78,474
University Heights,7603,396
Upper East Side,61712822.65,4900066
Upper West Side,38619998.71,2985556
Utopia,104165.07,3159
Wakefield-Williamsbridge,3489.51,159
Washington Heights,838607.14,40202
West Village,13114677.75,955299
Whitestone,0,0
Williams Bridge,4094.99,181
Williamsburg,3532240.56,226263
Woodhaven-Richmond Hill,32064.07,1489
Woodlawn-Nordwood,4589.42,198
Woodside,449028,26929
Yorkville,3663055.03,267475